#             eta             phi             dep             det    value      DetId
               -2              29               1              HB  1.18161   4200411D
               -3              29               1              HB  1.17140   4200419D
               -4              29               1              HB  1.20235   4200421D
               -5              29               1              HB  1.13450   4200429D
               -6              29               1              HB  1.17671   4200431D
               -7              29               1              HB  1.20659   4200439D
               -8              29               1              HB  1.39742   4200441D
               -9              29               1              HB  1.21420   4200449D
              -10              29               1              HB  1.27264   4200451D
              -11              29               1              HB  1.23464   4200459D
              -12              29               1              HB  1.19273   4200461D
              -13              29               1              HB  1.13100   4200469D
              -14              29               1              HB  1.03482   4200471D
              -15              29               1              HB  1.03853   4200479D
              -15              29               2              HB  0.89231   4200879D
              -16              29               1              HB  1.29497   4200481D
              -16              29               2              HB  1.14701   4200881D
               -1              30               1              HB  1.06484   4200409E
               -2              30               1              HB  1.04123   4200411E
